id,token,frequency
524,b' bei',42
525,b' pu',289
526,b' ou',258
527,b' d',904
528,b'ue',3055
529,b'ui',377
530,b' fou',158
531,b' em',245
532,b'pl',109
533,b'men',423
534,b' ci',311
535,b'vil',276
536,b' ser',262
537,b' as',68403
538,b' cl',23
539,b' D',1752
540,b'ep',325
541,b'art',747
542,b' E',1409
543,b' bu',320
544,b'min',327
545,b'ate',5032
546,b' hi',290
547,b'ut',2327
548,b'ch',5707
549,b' co',1738
550,b'lle',549
551,b'ag',425
552,b'rna',173
553,b' inv',109
554,b'tion',17716
555,b' su',229
556,b' K',1077
557,b'em',869
558,b' bec',15
559,b' k',317
560,b'no',1325
561,b'ory',1736
562,b' ar',261
563,b'tic',3356
564,b'olv',211
565,b'ndo',251
566,b'nes',1812
567,b'sa',842
568,b'ys',1309
569,b'bl',303
570,b' De',492
571,b'ess',4938
572,b' Du',285
573,b'tc',82
574,b'-l',98
575,b'ang',500
576,b'ua',616
577,b'ew',1195
578,b'sp',271
579,b'ape',417
580,b' hig',7
581,b' cr',178
582,b'iti',321
583,b'cal',3897
584,b' att',287
585,b' In',19689
586,b'ian',4620
587,b'rin',319
588,b' Fi',295
589,b' he',27774
590,b' ac',118
591,b'tiv',214
592,b'ov',519
593,b'ent',14904
594,b' g',227
595,b'rea',276
596,b' au',282
597,b'to',1871
598,b'eg',259
599,b' We',559
600,b'aa',291
601,b'omm',293
602,b'enc',281
603,b' Ind',161
604,b'ro',1657
605,b'un',746
606,b' sa',321
607,b'im',674
608,b'oi',308
609,b'ned',3540
610,b'are',1554
611,b' Is',554
612,b'lam',305
613,b' U',3696
614,b'ni',1077
615,b'omi',304
616,b' org',81
617,b'dl',298
618,b' pr',78
619,b'ank',346
620,b'ts',11931
621,b' re',1582
622,b'pre',274
623,b' ne',283
624,b'go',564
625,b'tia',279
626,b' ai',230
627,b'med',1145
628,b'ai',897
629,b' di',600
630,b'rec',300
631,b'sen',532
632,b'tat',317
633,b' Dut',276
634,b' pa',277
635,b'rl',294
636,b'iam',299
637,b'ary',3252
638,b' ap',317
639,b'po',317
640,b' memb',111
641,b' V',743
642,b'olk',220
643,b'sr',178
644,b'(P',305
645,b'eo',712
646,b'il',2125
647,b' wh',320
648,b' de',5197
649,b'vel',295
650,b'op',997
651,b' int',199
652,b' ra',254
653,b'ub',336
654,b' wi',287
655,b'ist',1840
656,b' nu',310
657,b'mb',235
658,b' ti',128
659,b'mes',748
660,b' He',15313
661,b'res',1821
662,b'wi',299
663,b' mu',292
664,b'rd',5100
665,b' Con',303
666,b'tr',93
667,b'ur',1892
668,b'ort',1760
669,b' ju',319
670,b' af',258
671,b' ha',319
672,b'mp',394
673,b'ki',907
674,b' tou',210
675,b' No',2654
676,b' lo',315
677,b' le',318
678,b'ot',1598
679,b' Y',319
680,b'rt',3485
681,b' con',192
682,b'fi',320
683,b' G',1018
684,b' la',792
685,b' Mui',107
686,b' sh',183
687,b'if',278
688,b' his',36088
689,b' foc',121
690,b'lit',307
691,b'ics',1738
692,b'eat',342
693,b' wr',222
694,b' cor',182
695,b'nden',107
696,b'ce',10477
697,b'-o',293
698,b'wn',1195
699,b' pub',185
700,b'lish',263
701,b' ho',231
702,b'use',665
703,b' B',2194
704,b'ala',386
705,b'sta',329
706,b'rst',304
707,b'ha',1399
708,b'pb',137
709,b'gi',360
710,b'pi',296
711,b'ct',2217
712,b'ob',294
713,b'ci',302
714,b' so',3992
715,b'ation',9748
716,b' tr',56
717,b' sto',195
718,b'ry',12113
719,b' Ha',314
720,b'naf',19
721,b' Cor',300
722,b'rie',379
723,b' T',1644
724,b'ber',1342
725,b'ict',301
726,b' pre',775
727,b'-i',309
728,b'end',361
729,b' ch',254
730,b'oo',395
731,b'sin',314
732,b'the',327
733,b'ad',2040
734,b'ona',590
735,b' v',596
736,b'pt',531
737,b' Wes',305
738,b'tern',582
739,b' not',16193
740,b'ions',4407
741,b' mo',306
742,b'dern',146
743,b'ity',3872
744,b' nov',102
745,b' on',61826
746,b' fam',80
747,b'ous',2353
748,b' wo',185
749,b'rk',771
750,b' am',350
751,b'ong',751
752,b' mod',191
753,b'ern',527
754,b' Indo',275
755,b' sev',11
756,b'nesi',118
757,b'ass',582
758,b'lu',290
759,b'ded',2562
760,b'tu',295
761,b'rit',203
762,b' Se',298
763,b'ries',1361
764,b'ish',1923
765,b'lat',205
766,b'ev',295
767,b' publ',8
768,b'ont',450
769,b' Fo',320
770,b'da',1700
771,b' Indon',4
772,b' als',18
773,b' thre',164
774,b' ot',69
775,b' them',5747
776,b'emu',45
777,b' Jo',296
778,b'(T',319
779,b'iag',151
780,b'ner',1794
781,b'ishe',192
782,b' nove',89
783,b'ls',4730
784,b'esia',153
785,b' tra',253
786,b'tt',974
787,b' lif',22
788,b'ung',450
789,b' est',268
790,b' Ba',292
791,b'ndu',168
792,b' Ins',312
793,b' Te',296
794,b'olo',317
795,b' Af',181
796,b' Per',258
797,b'ga',801
798,b'ich',897
799,b' Ja',318
800,b'ay',5272
801,b' see',1151
802,b' im',285
803,b'eed',323
804,b' fig',72
805,b'ht',4351
806,b' rec',201
807,b'itio',93
808,b' ded',104
809,b'ica',951
810,b'tiona',273
811,b' ca',303
812,b' nam',182
813,b' nat',34
814,b'iona',258
815,b' her',12792
816,b'arn',194
817,b'ele',307
818,b' As',3092
819,b'(A',390
820,b' Wr',192
821,b'kar',314
822,b' Pus',161
823,b'tak',190
824,b'ert',1331
825,b'tin',437
826,b' Ma',314
827,b'rr',205
828,b' Pa',314
829,b'ers',8436
830,b' Bal',288
831,b' Jak',227
832,b' Be',383
833,b'arta',43
834,b' An',1422
835,b'ef',557
836,b'xt',281
837,b' lin',290
838,b' Bi',298
839,b' En',286
840,b'lo',783
841,b' To',1160
842,b'ko',571
843,b' Indone',7
844,b'sia',326
845,b'ite',1431
846,b'rs\n',1409
847,b' jo',239
848,b'nal',3231
849,b'ir',1253
850,b'ow',2522
851,b'n\n',2091
852,b' dea',246
853,b'ths',301
854,b' bi',291
855,b'rth',418
856,b'(D',352
857,b' Ea',262
858,b' Indi',280
859,b')\n',34995
860,b'-c',192
861,b'entu',225
862,b'ists',651
863,b'In',14771
864,b'ws',865
865,b'pa',527
866,b'per',1133
867,b'ito',276
868,b'Sa',318
869,b' pol',169
870,b'itic',210
871,b'ians',570
872,b' col',129
873,b'lap',57
874,b' sta',293
875,b' und',413
876,b'erg',738
877,b'ita',315
878,b' Wh',186
879,b'nge',724
880,b' en',390
881,b'oug',78
882,b'gn',785
883,b' fu',285
884,b' rea',298
885,b' there',6646
886,b' are',26357
887,b' pos',190
888,b' dep',173
889,"b""'s""",60152
890,b' mas',273
891,b' it',24117
892,b'ss',3393
893,b' Ch',320
894,b'andr',150
895,b'ase',1071
896,b'kh',311
897,b' lim',308
898,b'(1',22604
899,b'lar',1339
900,b'ses',1784
901,b' star',670
902,b'iz',259
903,b' beco',4
904,b' whi',320
905,b' dw',279
906,b'arf',173
907,b' bet',279
908,b'we',318
909,b'lm',501
910,b'an\xe2',29
911,b'pp',310
912,b'enh',277
913,b'mer',1202
914,b'(a',701
915,b'utr',56
916,b' ab',161
917,b'\x80\x93',454
918,b'olko',4
919,b'ff',1124
920,b' limi',34
921,b' wil',139
922,b' bl',115
923,b'ac',509
924,b' Ho',290
925,b'ver',1994
926,b'riz',300
927,b' tha',57
928,b'sit',249
929,b' all',9660
930,b' q',81
931,b' res',223
932,b'ult',495
933,b' mor',179
934,b' mass',730
935,b'ive',3356
936,b' ev',83
937,b'ma',2537
938,b' sti',317
939,"b""'t""",2036
940,b' Li',294
941,b' Sh',298
942,b' coll',227
943,b'-r',202
944,b' Com',315
945,b'Re',248
946,b'fe',383
947,b'ren',508
948,b'ces',1769
949,b'Ex',295
950,b' stars',501
951,b'lac',311
952,b' hol',275
953,b'les',3038
954,b' Na',298
955,b' Mov',25
956,b'eme',230
957,b' MN',42
958,b' par',304
959,b' Dem',218
960,b'oc',317
961,b'rat',321
962,b' R',1371
963,b'lic',765
964,b'sto',267
965,b'oun',336
966,b'Th',167
967,b' foun',73
968,b'ric',730
969,b' with',61837
970,b'lg',297
971,b' Cong',127
972,b' Th',214
973,b'aniz',190
974,b' ind',196
975,b'ende',113
976,b'nce',5946
977,b'thi',277
978,b' br',315
979,b' tog',53
980,b'eth',564
981,b'ari',396
982,b' ba',297
983,b' ach',61
984,b' aro',216
985,b'und',1062
986,b' sig',300
987,b'hers',582
988,b' Lu',329
989,b'mu',309
990,b'ril',321
991,b' Ad',316
992,b'oul',248
993,b' Il',320
994,b' Jos',243
995,b'eph',295
996,b'asa',312
997,b'-V',307
998,b'abl',276
999,b' acc',108
1000,b'usi',285
1001,b' part',6583
1002,b' too',1062
1003,b'erat',247
1004,b' hav',19
1005,b' MNC',27
1006,b'bs',531
1007,b'tan',625
1008,b' who',14652
1009,b' mos',260
1010,b'ies',5717
1011,b'sed',3459
1012,b' pri',217
1013,b' reg',238
1014,b'ional',1566
1015,b' et',733
1016,b'hn',336
1017,b'ered',1351
1018,b' sup',279
1019,b'por',271
1020,b' thei',10
1021,b' pro',385
1022,b'vin',309
1023,b'gg',315
1024,b' nati',102
1025,b' party',1691
1026,b' man',1557
1027,b' dif',9
1028,b' fac',179
1029,b'tions',4376
1030,b' whic',3
1031,b'mbe',176
1032,b'ues',930
1033,b' incr',33
1034,b'eas',318
1035,b' \xc3',315
1036,b'\xa9s',285
1037,b'dic',283
1038,b' membe',3
1039,b'ip',2979
1040,b' Ju',294
1041,b'\xa9o',99
1042,b' spl',189
1043,b' cre',301
1044,b' rad',173
1045,b'ical',2933
1046,b' fed',141
1047,b'eral',770
1048,b'ism',1087
1049,b' than',7283
1050,b' ce',247
1051,b'ntr',263
1052,b' but',15276
1053,b' gr',169
1054,b'oup',204
1055,b' fai',137
1056,b'led',2713
1057,b'iev',119
1058,b' def',289
1059,b' mai',312
1060,b' rem',198
1061,b'ain',1141
1062,b' maj',34
1063,b'ori',320
1064,b'-L',291
1065,b'um',3572
1066,b'ba',503
1067,b'(M',322
1068,b'NC',125
1069,b'id',2005
1070,b'mba',312
1071,b'sts',1905
1072,b' hel',268
1073,b' St',3090
1074,b'anl',57
1075,b'ey',6503
1076,b' its',16195
1077,b' beca',8
1078,b'-K',321
1079,b'alo',323
1080,b'nj',215
1081,b' Al',937
1082,b' aft',71
1083,b' rel',319
1084,b'rac',285
1085,b'od',1276
1086,b'bu',280
1087,b'sh',3839
1088,b' amo',17
1089,b' com',317
1090,b' Congo',218
1091,b' fir',208
1092,b' parl',141
1093,b'enta',131
1094,b' el',340
1095,b' which',26400
1096,b' Lum',300
1097,b'rg',976
1098,b' cou',89
1099,b'umb',312
1100,b' form',2807
1101,b' coa',133
1102,b' more',9556
1103,b'va',500
1104,b' led',2678
1105,b' Ka',287
1106,b'ubu',49
1107,b'ect',1050
1108,b' Pri',188
1109,b'ster',1372
1110,b' whil',249
1111,b' Pre',318
1112,b'sid',100
1113,b' Cr',153
1114,b'isi',300
1115,b'Ho',298
1116,b'wev',49
1117,b'uic',51
1118,b' pl',190
1119,b' faci',315
1120,b'die',314
1121,b'(l',204
1122,b'ho',401
1123,b' So',409
1124,b' Kas',285
1125,b' Kal',319
1126,b'onj',28
1127,b' Lumu',3
1128,b'-Vu',3
1129,b' fel',103
1130,b' dis',278
1131,b'mis',321
1132,b' ins',230
1133,b'tea',272
1134,b'nted',838
1135,b'\xc3\xa9',861
1136,b' mi',260
1137,b'nis',339
1138,b' tu',287
1139,b' dec',92
1140,b' Il\xc3',2
1141,b' ga',283
1142,b'ema',300
1143,b' whe',90
1144,b' Lumum',3
1145,b' parti',191
1146,b'san',344
1147,b' Col',300
1148,b' Jose',287
1149,b'ph',457
1150,b' Mob',247
1151,b'utu',115
1152,b' lat',192
1153,b'ill',862
1154,b' du',504
1155,b'bi',425
1156,b'rc',314
1157,b' cong',260
1158,b'ress',515
1159,b' rep',119
1160,b'ris',445
1161,b'ye',413
1162,b' lea',309
1163,b'ders',766
1164,b'tes',2018
1165,b' cont',42
1166,b'inu',292
1167,b' sub',411
1168,b'seq',59
1169,b'uen',176
1170,b' ye',226
1171,b'ars',618
1172,b' Kaso',2
1173,b'ngo',231
1174,b' Cha',214
1175,b'ok',576
1176,b' Ga',298
1177,b'br',260
1178,b' La',1199
1179,b'ine',5255
1180,b' Ki',275
1181,b' cla',203
1182,b' Lumumb',4
1183,b'ght',2463
1184,b'fu',287
1185,b' suc',69
1186,b'cess',328
1187,b' conf',251
1188,b'eren',75
1189,b' ex',422
1190,b' ge',303
1191,b' Gi',307
1192,b'ze',1221
1193,b'air',444
1194,b' go',1225
1195,b'nm',229
1196,b'eag',88
1197,b' Sep',160
1198,b'tem',307
1199,b' that',49676
1200,b' Par',321
1201,b'tional',1549
1202,b' Lumumbi',2
1203,b' rej',109
1204,b'uld',139
1205,b' Me',832
1206,b'hil',248
1207,b'onal',1839
1208,b' poli',113
1209,b' act',794
1210,b'ivi',198
1211,b' out',6910
1212,b'side',273
1213,b' ste',248
1214,b'ily',793
1215,b'lin',636
1216,b'ile',941
1217,b'sis',996
1218,b' oth',7
1219,b' gro',251
1220,b'up',313
1221,b'ings',1304
1222,b' som',64
1223,b' ea',265
1224,b'rly',513
1225,b' member',3184
1226,b' natio',25
1227,b'vern',316
1228,b'ment',4516
1229,b'ug',330
1230,b' lead',1659
1231,b'ersh',264
1232,b' blo',315
1233,b'lia',471
1234,b'vem',152
1235,b' fol',223
1236,b' fal',197
1237,b' betw',8
1238,b'een',1405
1239,b' pow',114
1240,b'ime',1249
1241,b'ept',206
1242,b' app',85
1243,b' him',7285
1244,b'sel',367
1245,b' fiv',17
1246,b'rm',909
1247,b' acti',33
1248,b'vit',253
1249,b' coun',172
1250,b'try',955
1251,"b'""\n'",5227
1252,b' ant',233
1253,b'-M',287
1254,b' end',3659
1255,b' leg',332
1256,b' unt',171
1257,b' conti',37
1258,b'nu',321
1259,b' op',279
1260,b' how',1583
1261,b'obu',58
1262,b' MNCR',3
1263,b' Congol',29
1264,"b'""R'",315
1265,b'ese',681
1266,b' fact',954
1267,b' Lumumba',20
1268,b' grou',24
1269,b'ista',172
1270,b' Pat',318
1271,b' Fr',319
1272,b'bera',130
1273,b'(F',321
1274,b' Z',323
1275,b'ons',5942
1276,b'ib',318
1277,b'ili',326
1278,b'omb',314
1279,b'vis',337
1280,b' hea',117
1281,b' Pau',140
1282,b'ke',2476
1283,b'oin',165
1284,b'tm',255
1285,b' thi',248
1286,b'pos',315
1287,b' gov',18
1288,b'ld',2226
1289,b'all',2474
1290,b' Nat',264
1291,b'(C',327
1292,b'ocr',115
1293,b'atie',193
1294,b' activ',266
1295,b' CR',294
1296,b'ND',86
1297,b'sas',268
1298,b' Re',365
1299,b'urn',484
1300,b' Ng',216
1301,b' aw',168
1302,b' one',14960
1303,b' bef',108
1304,b'ore',2178
1305,b' Ta',315
1306,b' Kin',267
1307,b' exi',255
1308,b'tl',279
1309,b' becam',6
1310,b'now',240
1311,"b'""M'",242
1312,b'-Lu',57
1313,b' Or',312
1314,b'ig',487
1315,b'-LO',5
1316,b'oic',121
1317,b'ure',3033
1318,b'-D',322
1319,b'\xc3\xa9s',160
1320,b' tw',34
1321,b'atic',553
1322,b'liti',73
1323,b' Mobu',27
1324,b' facti',180
1325,b' beg',116
1326,b' regu',19
1327,b' On',4259
1328,b'bert',354
1329,b' ve',197
1330,b' Kab',194
1331,b'ila',319
1332,b' ta',306
1333,b' Patr',232
1334,b' da',347
1335,b' also',20310
1336,b' forme',13
1337,b'atr',280
1338,b'iat',318
1339,b' main',2749
1340,b'an\xc3',94
1341,b'ois',287
1342,b'nali',198
1343,b' then',6906
1344,b' off',2694
1345,b'ouv',295
1346,b' Congola',10
1347,b'(MN',20
1348,b'(f',251
1349,b'Co',320
1350,b'nse',379
1351,b' R\xc3',317
1352,b'rom',219
1353,b' Nati',98
1354,b'mum',279
1355,b' kn',316
1356,b'Mo',267
1357,b'uv',309
1358,b'emen',88
1359,b'No',316
1360,b'ose',445
1361,b'Al',283
1362,b' Lumumba\n',2
1363,b'uri',260
1364,b'fer',355
1365,b'lio',317
1366,b'y\n',1601
1367,b' Congo\n',3
1368,b'ishm',265
1369,b'ents',3879
1370,b' Demo',246
1371,b'cr',319
1372,b'bli',189
1373,b'pub',109
1374,b'Fe',313
1375,b'dera',258
1376,b'rica',237
1377,b'Po',314
1378,b' partie',105
1379,b'Pl',285
1380,b'ingt',75
1381,b' Pres',281
1382,b'ton',4179
1383,b' Lan',258
1384,b'gl',281
1385,b'lly',3959
1386,b' wor',200
1387,b' te',180
1388,b' partic',310
1389,b' sou',210
1390,b' becom',91
1391,b' Un',318
1392,b'rsi',288
1393,b'ond',1290
1394,b'ree',483
1395,b' ro',210
1396,b'Ar',316
1397,b'thu',123
1398,b'eek',156
1399,b'ru',469
1400,b' Am',268
1401,b'eri',319
1402,b'can',810
1403,b' thea',51
1404,b' cri',167
1405,b' bes',70
1406,b'cre',279
1407,b' Hi',294
1408,b'lt',1330
1409,b'rou',171
1410,b'cho',320
1411,b'rx',9
1412,"b'""T'",310
1413,b' Wi',239
1414,b' bo',183
1415,b' Fe',305
1416,b' pare',106
1417,b'nts',3466
1418,b' Ne',238
1419,b' Gr',269
1420,b'man',3143
1421,b' She',3887
1422,b'ek',620
1423,b' Ru',281
1424,b'ild',252
1425,b'dit',295
1426,b' chi',237
1427,b' sc',105
1428,b'ble',4906
1429,b' supp',273
1430,b' Shee',191
1431,b'km',222
1432,b' got',719
1433,b'kin',490
1434,b' lib',67
1435,b'rar',284
1436,b' Da',321
1437,b'\x80\x94',321
1438,b'enda',234
1439,b' Lib',252
1440,b'lli',318
1441,b' Ed',376
1442,b' ent',282
1443,b' mov',24
1444,b' colu',6
1445,b'mn',381
1446,b' coul',12
1447,b' cour',174
